Site Name,Sample Collection Date,Concentration,7dra_centered
West,12/21/2023,1798971913,1782127893.2857144
West,12/22/2023,1887380583,1836848523.4285715
West,12/23/2023,1975789252,1860549200.857143
West,12/24/2023,1946289784,1853229925.7142856
West,12/25/2023,1916790315,1814890697.857143
West,12/26/2023,1788059316,1745531517.2857144
West,12/27/2023,1659328317,1645152384.2857144
West,12/28/2023,1530597318,1530597318.2857144
West,12/29/2023,1401866319,1401866319.4285715
West,12/30/2023,1273135321,1338838471.5714285
West,12/31/2023,1144404322,1341513774.857143
West,01/01/2024,1015673323,1409892229.142857
West,01/02/2024,1346864381,1543973834.4285715
West,01/03/2024,1678055440,1743758590.7142856
West,01/04/2024,2009246498,2045503332.0
West,01/05/2024,2340437556,2449208058.428571
West,01/06/2024,2671628615,2747889750.571429
West,01/07/2024,3256617511,2941548408.285714
West,01/08/2024,3841606408,3030184031.714286
West,01/09/2024,3437636226,3013796620.857143
West,01/10/2024,3033666044,2892386175.571429
West,01/11/2024,2629695862,2593439027.857143
West,01/12/2024,2225725680,2116955177.7142856
West,01/13/2024,1821755498,1734765308.0
West,01/14/2024,1163987477,1446869418.7142856
West,01/15/2024,506219457,1253267509.857143
West,01/16/2024,762307138,1153959581.4285715
West,01/17/2024,1018394819,1148945633.4285715
West,01/18/2024,1274482500,1597980911.2857144
West,01/19/2024,1530570181,2501065415.0
West,01/20/2024,1786657862,3329878846.857143
West,01/21/2024,4307234422,4084421207.0
West,01/22/2024,6827810983,4764692495.428572
West,01/23/2024,6564001161,5370692712.0
West,01/24/2024,6300191340,5902421856.857142
West,01/25/2024,6036381519,5723209052.428572
West,01/26/2024,5772571697,4833054298.571428
West,01/27/2024,5508761876,3980515575.428571
West,01/28/2024,3052744791,3165592882.714286
West,01/29/2024,596727706,2388286220.571429
West,01/30/2024,596230099,1648524502.142857
West,01/31/2024,595732491,958441892.8571428
West,02/01/2024,595234884,631210858.8571428
West,02/03/2024,594239668,661990302.2857143
West,02/04/2024,678183611,699991726.2857143
West,02/05/2024,762127553,759516918.8571428
West,02/06/2024,812183810,798140046.2857143
West,02/07/2024,862240067,815932195.4285715
West,02/10/2024,1012408839,833389876.5714285
West,02/11/2024,865596776,850513089.7142857
West,02/12/2024,718784712,872142932.8571428
West,02/13/2024,800387379,898279405.8571428
West,02/14/2024,881990045,914620721.0
West,02/15/2024,963592712,969327733.8571428
West,02/16/2024,1045195378,1062400444.5714285
West,02/17/2024,1126798045,1143690129.5714285
West,02/18/2024,1248545866,1213196789.0
West,02/19/2024,1370293687,1270794920.7142856
West,02/20/2024,1369415174,1316610026.857143
West,02/21/2024,1368536661,1339091218.7142856
West,02/23/2024,1366779634,1332503474.2857144
West,02/24/2024,1365901121,1283089612.2857144
West,02/25/2024,1284166388,1208367680.5714285
West,02/26/2024,1202431655,1108337679.0
West,02/27/2024,1024396653,983125109.5714285
West,02/28/2024,846361652,832604470.4285715
West,02/29/2024,668326650,680533239.5714285
West,03/01/2024,490291648,526911417.14285713
West,03/02/2024,312256647,401898608.0
West,03/03/2024,219667772,305494812.0
West,03/04/2024,127078898,237700029.2857143
West,03/05/2024,149306989,198514259.85714287
West,03/06/2024,171535080,187937503.57142857
West,03/07/2024,193763171,200627718.0
West,03/08/2024,215991262,236584902.85714287
West,03/09/2024,238219353,277817300.71428573
West,03/10/2024,308499273,320099584.28571427
West,03/11/2024,378779192,363431753.5714286
West,03/13/2024,437933774,407813808.4285714
West,03/14/2024,467511065,440524716.4285714
West,03/15/2024,497088356,454699930.5714286
West,03/16/2024,526665646,454206592.85714287
West,03/17/2024,467195709,440634037.14285713
West,03/18/2024,407725772,418207590.71428573
West,03/19/2024,375325828,386927253.5714286
West,03/20/2024,342925884,346793025.85714287
West,03/21/2024,310525940,314110863.14285713
West,03/22/2024,278125996,288880765.28571427
West,03/23/2024,245726052,265942394.2857143
West,03/24/2024,238420570,245295750.0
West,03/25/2024,231115087,226940832.42857143
West,03/26/2024,214757231,210877641.7142857
West,03/27/2024,198399374,197106177.7142857
West,03/28/2024,182041517,185165397.2857143
West,03/29/2024,165683661,175055300.7142857
West,03/30/2024,149325804,168024448.42857143
West,03/31/2024,154835107,164072840.7142857
West,04/01/2024,160344411,163200477.42857143
West,04/02/2024,165541265,165407358.57142857
West,04/03/2024,170738120,170693484.2857143
West,04/04/2024,175934974,176676843.2857143
West,04/05/2024,181131829,183357435.57142857
West,04/06/2024,186328684,189513875.57142857
West,04/07/2024,196718620,195146163.14285713
West,04/08/2024,207108557,200254298.42857143
West,04/09/2024,208636345,204838281.2857143
West,04/10/2024,210164133,208898111.85714287
West,04/11/2024,211691921,211810386.2857143
West,04/12/2024,213219709,213297929.57142857
West,04/13/2024,214747498,214626763.0
West,04/15/2024,217104541,215796886.57142857
West,04/16/2024,217521360,216808300.2857143
West,04/17/2024,217938179,217661004.14285713
West,04/18/2024,218354998,218508973.57142857
West,04/19/2024,218771817,219233743.7142857
West,04/20/2024,219188636,221673947.0
West,04/21/2024,220683284,225829583.42857143
West,04/22/2024,222177932,231700653.0
West,04/23/2024,234602783,238181852.14285713
West,04/24/2024,247027634,243636284.85714287
West,04/25/2024,259452485,247909975.42857143
West,04/30/2024,264140211,251002924.0
West,05/01/2024,257369665,251353672.85714287
West,05/02/2024,250599118,250571792.85714287
West,05/03/2024,243828572,248657284.0
West,05/04/2024,237058025,250248604.85714287
West,05/05/2024,241554474,256982651.42857143
West,05/06/2024,246050923,268859424.0
West,05/07/2024,275279457,285878922.28571427
West,05/08/2024,304507991,308041146.4285714
West,05/09/2024,333736526,327316486.28571427
West,05/10/2024,362965060,343704941.71428573
West,05/11/2024,392193594,357763262.71428573
West,05/12/2024,376481853,369491449.28571427
West,05/13/2024,360770111,378889501.28571427
West,05/14/2024,373687704,385957418.85714287
West,05/15/2024,386605297,390695201.85714287
West,05/16/2024,399522890,409910567.28571427
West,05/17/2024,412440483,443603515.28571427
West,05/18/2024,425358075,498950019.85714287
West,05/19/2024,510989411,575950081.0
West,05/20/2024,596620747,674603698.7142857
West,05/21/2024,761113236,794910873.0
West,05/22/2024,925605725,936871604.0
West,05/23/2024,1090098214,1084898546.7142856
West,05/24/2024,1254590703,1238991701.0
West,05/25/2024,1419083192,1356540150.142857
West,05/26/2024,1547178010,1437543894.142857
West,05/27/2024,1675272827,1468957154.857143
West,05/28/2024,1583952380,1463825710.4285715
West,05/29/2024,1492631933,1463857794.142857
West,05/31/2024,1309991039,1474253073.4285715
West,06/01/2024,1218670592,1489720960.857143
West,06/02/2024,1419307778,1541606494.2857144
West,06/03/2024,1619944965,1629909673.7142856
West,06/04/2024,1783548039,1767676277.142857
West,06/05/2024,1947151114,1941860526.5714285
West,06/06/2024,2110754189,2050593154.2857144
West,06/07/2024,2274357263,2093874160.2857144
West,06/08/2024,2437960338,2092660530.5714285
West,06/09/2024,2180436172,
West,06/10/2024,1922912007,
West,06/11/2024,1775052631,
